cod_ccaa,total
08,975754
12,471562
09,2394239
07,948423
11,176636
12,471562
02,287873
17,243087
02,287873
04,99690
07,948423
12,471562
02,287873
07,948423
03,144062
01,682382
13,3524268
07,948423
01,682382
08,975754
01,682382
10,609998
10,609998
01,682382
06,120897
14,101495
09,2394239
16,765310
08,975754
19,6319
05,115311
01,682382
09,2394239
05,115311
08,975754
16,765310
08,975754
16,765310
07,948423
15,303716
10,609998
01,682382
07,948423
09,2394239
07,948423
01,682382
01,682382
18,6739
07,948423
07,948423
12,471562
11,176636
